id,endTime,ticket,startedAt,numberOfBets,payout,serverSeed
257af349-1b38-41f8-a1fe-e9d95f855559,1702227363200,114,1702227361016,1,0,ada8082c3a40c559e07e625492babab3b48bb5f1643068fc85072a07ca8ee302
565b3323-1ee0-474d-8d55-c13f8d96edcf,1702227353923,100,1702227353923,3,0,d778dc1189335813d2331cab89c402680bc93a759eeed1d51ef159572dd594a5
8aac9900-44ba-47f4-b669-4b7b9ffd18ee,1702227346788,896,1702227310241,1,271,2c468f4f2f54ec931d016336963f7fccddbec35380d1091b2ce6a67443507206
9a861a18-bf26-4e1d-952b-8b20920fb827,1702227303080,148,1702227296545,1,0,44b0beb6c2be1e6562077641e8a71caf68791c2161d580dbb96eb025e7d4ff6e
75a7d7a8-0d32-40df-afb2-bdc9fd980260,1702227289238,106,1702227288266,1,0,c00c754721a6f2e16f3c984143ce6944e21fe8f80512568ab70c40a511999597
a3d122c5-3097-438f-939a-204a2239f929,1702227280994,102,1702227280663,1,0,01e947c72aee51b1308140afc83326f28d08602966c7d8ef40e482c8931b0a85
76f63d0e-e7bd-4f23-b501-f649e9fc6ba6,1702227273289,254,1702227257752,2,0,053bb29592c7a928a4c687d05fcb4d9fc8d0290866975ff3a002587bfeddaf06
bbc310b5-b9d3-4164-a175-2353f8613c62,1702227250644,139,1702227245155,2,0,73dbdd3f6a1de8f7bbd3ee8dd90b8fe5308a08f0cb2765b6991bab2a872a1b7e
86134b07-1cfa-41cf-95e5-07c09746e063,1702227237903,365,1702227216324,2,338,44c46357d8b58f779c32146fa9e42e9afa080fbd665b7a9c466f2df377f2b18c
06b1bd6d-92ed-40c7-85e2-f3c5d4ef62fe,1702227209268,134,1702227204390,1,0,da3d4583d2054fa64a806850c4492aadf24e10bb3b0e27a38d77168e49ba20fa
98a64b70-9ab1-4e2b-a751-fb17be966a64,1702227197124,162,1702227189083,1,0,4d4c8484e818ce35578384c9c55f945b7f02942da68dfadec715fb5cb0c8df88
d502dcef-f89a-4665-9f02-80377e9ba481,1702227181734,116,1702227179260,2,0,247f003170b00746ab74415a37bfd2ce85e4ce753298b1a9a3b29ae80ef56ceb
af461266-9b19-460c-a9d7-6be04928e63c,1702227172141,203,1702227160340,0,0,7f3f1870df8016372af6c3224128affe6c05706a071f8d7301775d0ed9dfa98b
44ba2a65-d87d-4a97-b5cb-8b199ceb900d,1702227153014,104,1702227152360,1,0,200e1b20fda4c4503bd78c6b00fea6f3842926ac038c6af44292dbce3fc0fd30
81ccb319-7487-4801-ae86-8130c94f2df3,1702227145044,125,1702227141324,1,0,3feb0ab5b21ed5f2b037f4e3a846a7260f86e6d8c0f0467d27e41d90ed658f9a
